original_string	phrase	book	volume	pages
Cum ergo videritis abominationem desolationis … intelligat (Mt 24, 15)	Cum ergo videritis abominationem desolationis … intelligat	Mt	24	15
De die autem ... scit (Mt 24, 36)	De die autem ... scit	Mt	24	36
Sicut enim homo proficiscens vocavit servos suos … vero unum  (Mt 25, 14-15)	Sicut enim homo proficiscens vocavit servos suos … vero unum	Mt	25	14-15
Audistis quia dictum est… inimicum tuum (Mt 5, 43)	Audistis quia dictum est… inimicum tuum	Mt	5	43
Et cum intrasset Iesus in Hierusolimam... a Nazareth Galileae (Mt 21, 10-11)	Et cum intrasset Iesus in Hierusolimam... a Nazareth Galileae	Mt	21	10-11
Accesserunt ad Iesum scribe… signum videre (Mt 12, 38)	Accesserunt ad Iesum scribe… signum videre	Mt	12	38
Tunc Iesus locutus est ad turbas… vero eorum ne faciatis  (Mt 23, 1-3)	Tunc Iesus locutus est ad turbas… vero eorum ne faciatis	Mt	23	1-3
De die autem illa et hora nemo scit nisi pater solus  (Mt 24, 36)	De die autem illa et hora nemo scit nisi pater solus	Mt	24	36
Quare discipuli tui transgrediuntur traditionem seniorum  (Mt 15, 2)	Quare discipuli tui transgrediuntur traditionem seniorum	Mt	15	2
Et ecce princeps unus accessit ... et vivet (Mt 9, 18)	Et ecce princeps unus accessit ... et vivet	Mt	9	18
Angelus domini per somnium apparuit ioseph (Mt 1, 20)	Angelus domini per somnium apparuit ioseph	Mt	1	20
Descendente ihesus de monte secute sunt eum turbe multe (Mt 8, 1)	Descendente ihesus de monte secute sunt eum turbe multe	Mt	8	1
In illa die accesserunt … non esse resurrectionem. (Mt 22, 23)	In illa die accesserunt … non esse resurrectionem.	Mt	22	23
Accesserunt ad Iesum …videre (Mt 12, 38)	Accesserunt ad Iesum …videre	Mt	12	38
Cum autem venerit … gentes (Mt 25, 31-32)	Cum autem venerit … gentes	Mt	25	31-32
Attendite a falsis prophetis qui veniunt … sunt lupi rapaces (Mt 7, 15)	Attendite a falsis prophetis qui veniunt … sunt lupi rapaces	Mt	7	15
Tunc Iesus … eorum (Mt 23, 1-3)	Tunc Iesus … eorum	Mt	23	1-3
Et ascendit Iesus Hierusolimam …suos (Mt 20, 17)	Et ascendit Iesus Hierusolimam …suos	Mt	20	17
Homo erat pater familias (Mt 21, 33)	Homo erat pater familias	Mt	21	33
Nolite iudicare ne iudicetur … remetietur vobis (Mt 7, 1-2)	Nolite iudicare ne iudicetur … remetietur vobis	Mt	7	1-2
Vespere autem sabbati que lucescit… videre sepulcrum (Mt 28, 1)	Vespere autem sabbati que lucescit… videre sepulcrum	Mt	28	1
Quare discipuli tui …seniorum? (Mt 15, 2)	Quare discipuli tui …seniorum?	Mt	15	2
Si autem peccaverit in te ... ipsum solum et reliqua (Mt 18, 15)	Si autem peccaverit in te ... ipsum solum et reliqua	Mt	18	15
Cum venisset Iesus …  febricitantem (Mt 8,14)	Cum venisset Iesus …  febricitantem	Mt	8	14
Tunc abeuntes pharisaei … cum Herodianis dicentes. (Mt 22, 15-16)	Tunc abeuntes pharisaei … cum Herodianis dicentes.	Mt	22	15-16
Scitis quia post biduum …crucifigatur (Mt 26, 2)	Scitis quia post biduum …crucifigatur	Mt	26	2
Ascendens Iesus … iacentem in lecto. (Mt 9, 1-2)	Ascendens Iesus … iacentem in lecto.	Mt	9	1-2
In illa die accessserunt … resurrectionem non esset. (Mt 22, 23)	In illa die accessserunt … resurrectionem non esset.	Mt	22	23
saducaeis convenerunt in unum (Mt 22, 34)	saducaeis convenerunt in unum	Mt	22	34
Attendite a falsis prophetis … rapaces (Mt, 7, 15)	Attendite a falsis prophetis … rapaces	Mt,	7	15
Ecce ego mitto ad vos prophetas … in civitatem (Mt, 33, 34)	Ecce ego mitto ad vos prophetas … in civitatem	Mt,	33	34
Et cum intrasset iesus hierusolimam commota est universa civitas … galilee (Mt. 21, 10-11)	Et cum intrasset iesus hierusolimam commota est universa civitas … galilee	Mt.	21	10-11
Quare discipuli tui ... seniorum (Mt. 15, 2)	Quare discipuli tui ... seniorum	Mt.	15	2
Accessit ad eum centurio  rogans … et curabo eum. Et cetera. (Mt. 8, 5-7)	Accessit ad eum centurio  rogans … et curabo eum. Et cetera.	Mt.	8	5-7
Audistis quia dictum est: diliges proximum tuum et odies inimicum tuum (Mt. 5, 43)	Audistis quia dictum est: diliges proximum tuum et odies inimicum tuum	Mt.	5	43
In illo die exiens iesus de domo …. multe (Mt. 13, 1-2)	In illo die exiens iesus de domo …. multe	Mt.	13	1-2
Et cum intrasset hierusolimam commota est universa civitas dicens: quis est hic? (Mt. 21, 10)	Et cum intrasset hierusolimam commota est universa civitas dicens: quis est hic?	Mt.	21	10
Adtendite ne iustitiam vestram faciatis coram hominibus (Mt. 6,1)	Adtendite ne iustitiam vestram faciatis coram hominibus	Mt.	6	1
Tunc responderunt ei quidam de scribis et phariseis dicaentes: magister volumus a te signum … in ventre ceti et cetera.  (Mt. 12, 38-40)	Tunc responderunt ei quidam de scribis et phariseis dicaentes: magister volumus a te signum … in ventre ceti et cetera.	Mt.	12	38-40
Tunc iesus locutus est ad turbas et ad discipulos dicens: super cathedram … nolite facere (Mt. 23, 1-3)	Tunc iesus locutus est ad turbas et ad discipulos dicens: super cathedram … nolite facere	Mt.	23	1-3
In illo tempore cum esset desponsata ... habens de spiritu sancto, et reliqua (Mt. 1, 18)	In illo tempore cum esset desponsata ... habens de spiritu sancto, et reliqua	Mt.	1	18
Simile factum est regnum celorum … zizania in medio tritici et reliqua. (Mt. 13, 24-25)	Simile factum est regnum celorum … zizania in medio tritici et reliqua.	Mt.	13	24-25
Accesserunt ad iesum quidam de scribi …. videre.  (Mt. 12,38)	Accesserunt ad iesum quidam de scribi …. videre.	Mt.	12	38
Exaudi Deus orationem  … animam meam (Ps 63, 2)	Exaudi Deus orationem  … animam meam	Ps	63	2
Exaudi Deus orationem … animam meam (Ps 63, 2)	Exaudi Deus orationem … animam meam	Ps	63	2
Igitur sicut per unius delictum …vitae (Rm 5, 18)	Igitur sicut per unius delictum …vitae	Rm	5	18
Quicumque baptizati sumus … in Christo … sumus (Rm 6, 3)	Quicumque baptizati sumus … in Christo … sumus	Rm	6	3
Exaudi Deus orationem meam dum tribulor … animam meam (Sal 63, 2)	Exaudi Deus orationem meam dum tribulor … animam meam	Sal	63	2
Iustorum animae … illorum et cetera (Sap 3, 1-2)	Iustorum animae … illorum et cetera	Sap	3	1-2
Oportet semper orare et non deficere (lc 18, 1)	Oportet semper orare et non deficere	lc	18	1
