original_string	phrase	book	volume	pages
Extollens vocem quaedam mulier de turba …suxisti (Lc 11, 27)	Extollens vocem quaedam mulier de turba …suxisti	Lc	11	27
Post hos autem dies … homines (Lc 1, 24-25)	Post hos autem dies … homines	Lc	1	24-25
Apparuit autem illi angelus … incensi (Lc 1, 11)	Apparuit autem illi angelus … incensi	Lc	1	11
Dicebat autem dominus iesus ad discipulos suos … in domos suas (Lc 16, 1-4)	Dicebat autem dominus iesus ad discipulos suos … in domos suas	Lc	16	1-4
Quanta audivimus facta in Capharnaum (Lc 4, 23)	Quanta audivimus facta in Capharnaum	Lc	4	23
Ecce quidam legis peritus ... possidebo (Lc 10, 25)	Ecce quidam legis peritus ... possidebo	Lc	10	25
Factum est autem ... incensi (Lc 1, 8-10)	Factum est autem ... incensi	Lc	1	8-10
Ascendens autem Iesus in unam navim … aliquantulum (Lc 5, 3)	Ascendens autem Iesus in unam navim … aliquantulum	Lc	5	3
Regressus est Iesus … omnibus (Lc 4, 14-15)	Regressus est Iesus … omnibus	Lc	4	14-15
Quis horum trium videtur ... in illum (Lc 10, 36-37)	Quis horum trium videtur ... in illum	Lc	10	36-37
Homo quidam descendebat ab hierusalem in hiericho (Lc 10, 30)	Homo quidam descendebat ab hierusalem in hiericho	Lc	10	30
Quid autem vides … non vides (Lc 6, 41)	Quid autem vides … non vides	Lc	6	41
Factum est autem in sequenti die … unicus est michi (Lc 9, 37-38)	Factum est autem in sequenti die … unicus est michi	Lc	9	37-38
Factum est in una dierum et ipse sedebat … sedentes et cetera (Lc 5, 17)	Factum est in una dierum et ipse sedebat … sedentes et cetera	Lc	5	17
Dimitte … dabitur vobis (Lc 6, 37-38)	Dimitte … dabitur vobis	Lc	6	37-38
Et factum est deinceps … naim (Lc 7, 11)	Et factum est deinceps … naim	Lc	7	11
Cum appropinquaret autem porte civitatis … loculum (Lc 7, 12-14)	Cum appropinquaret autem porte civitatis … loculum	Lc	7	12-14
Et factum est cum intraret Iesus in domum … ante illum (Lc 14, 1-2)	Et factum est cum intraret Iesus in domum … ante illum	Lc	14	1-2
Et ecce vir venit … synagogae erat (Lc 8, 41)	Et ecce vir venit … synagogae erat	Lc	8	41
Et postquam impleti sunt…domino (Lc 2, 22)	Et postquam impleti sunt…domino	Lc	2	22
Et ecce quidam  legis peritus … possidebo (Lc 10, 25)	Et ecce quidam  legis peritus … possidebo	Lc	10	25
Dixit autem Iesus et ad quosdam qui in se confidebant … istam (Lc 18, 9)	Dixit autem Iesus et ad quosdam qui in se confidebant … istam	Lc	18	9
Et factum est deinceps ibat ... Naim  (Lc 7, 11)	Et factum est deinceps ibat ... Naim	Lc	7	11
Non est opus sanis medicus … peccatores (Lc 5, 31-32)	Non est opus sanis medicus … peccatores	Lc	5	31-32
Homo quidam erat dives … aput ipsum (Lc 16, 1)	Homo quidam erat dives … aput ipsum	Lc	16	1
Erat Iesus eiciens …turbae (Lc 11, 14)	Erat Iesus eiciens …turbae	Lc	11	14
Et factum est … viri leprosi (Lc 17-11-12)	Et factum est … viri leprosi	Lc	-	17-11-12
Ideo dico vobis … vestiamini (Lc 12, 22)	Ideo dico vobis … vestiamini	Lc	12	22
Et ait quidam de turba … super vos (Lc 12, 13-14)	Et ait quidam de turba … super vos	Lc	12	13-14
Et factum est … naim (Lc 7, 11)	Et factum est … naim	Lc	7	11
Cum appropinquaret autem porte … tetigit loculum (Lc 7, 12-14)	Cum appropinquaret autem porte … tetigit loculum	Lc	7	12-14
Et factum est … hydropicus erat ante illum (Lc 14, 1-2)	Et factum est … hydropicus erat ante illum	Lc	14	1-2
Erat Iesus docens … inclinata (Lc 13, 10-11)	Erat Iesus docens … inclinata	Lc	13	10-11
In illa hora … loth (Lc 17, 31-32)	In illa hora … loth	Lc	17	31-32
Quanta audivimus facta in capharnaum fac et hic in patria tua  (Lc 4, 23)	Quanta audivimus facta in capharnaum fac et hic in patria tua	Lc	4	23
Surgens autem iesus de synagoga introivit … magnis febribus (Lc 4, 38)	Surgens autem iesus de synagoga introivit … magnis febribus	Lc	4	38
Et erat iesus eieciens demonium et illut erat mutum … sunt turbe (Lc 11, 14)	Et erat iesus eieciens demonium et illut erat mutum … sunt turbe	Lc	11	14
Erat inquid salvator eiciaens demonium et illut erat mutum (Lc 11, 14)	Erat inquid salvator eiciaens demonium et illut erat mutum	Lc	11	14
Et factum est deinceps ibat in civitatem que vocatur naim (Lc 7, 11)	Et factum est deinceps ibat in civitatem que vocatur naim	Lc	7	11
Cum appropinquaret autem porte civitatis …. Tetigit loculum (Lc 7, 12-14)	Cum appropinquaret autem porte civitatis …. Tetigit loculum	Lc	7	12-14
Appropinquabat autem dies festus azimorum … pascha (Lc 22, 1)	Appropinquabat autem dies festus azimorum … pascha	Lc	22	1
Homo quidam descendebat ab hierusalem in iericho (Lc 10, 30)	Homo quidam descendebat ab hierusalem in iericho	Lc	10	30
Factum est dum iret iesus … viri leprosi (Lc 17, 11-12)	Factum est dum iret iesus … viri leprosi	Lc	17	11-12
Homo quidam habebat duos filios ... (Lc 15, 11)	Homo quidam habebat duos filios ...	Lc	15	11
Homo quidam erat dives (Lc 16, 19)	Homo quidam erat dives	Lc	16	19
Iesus autem plenus spiritu sancto reversus est a iordane (Lc 4,1)	Iesus autem plenus spiritu sancto reversus est a iordane	Lc	4	1
Et factum est deinceps … Naim (Lc 7,11)	Et factum est deinceps … Naim	Lc	7	11
Socrus  Symonis tenebatur magnis febribus (Lc 4,38)	Socrus  Symonis tenebatur magnis febribus	Lc	4	38
Si peccaverit in te frater tuus (Lc 17,3)	Si peccaverit in te frater tuus	Lc	17	3
Nunc vos pharisei prius … mundatis (Lc 11, 39)	Nunc vos pharisei prius … mundatis	Lc	11	39
Quanta audivimus facta … patria tua  (Lc 4,23)	Quanta audivimus facta … patria tua	Lc	4	23
Homo quidam habebaat duos filios (Lc 15,11)	Homo quidam habebaat duos filios	Lc	15	11
Et ecce homo erat … consolationem Israel (Lc 2,25)	Et ecce homo erat … consolationem Israel	Lc	2	25
Regressus est Ihesus … magnificabatur ab omnibus (Lc 4,14-15)	Regressus est Ihesus … magnificabatur ab omnibus	Lc	4	14-15
Et regressus … Galileam (Lc 4,14)	Et regressus … Galileam	Lc	4	14
Cum autem duodecim esset annorum … non inveniunt (Lc 2,42-46)	Cum autem duodecim esset annorum … non inveniunt	Lc	2	42-46
Postquam consumati sunt dies octo ... conciperetur (Lc 2, 21)	Postquam consumati sunt dies octo ... conciperetur	Lc	2	21
Et erat Iesus eciens …admiratae sunt turbae (Lc 11,14)	Et erat Iesus eciens …admiratae sunt turbae	Lc	11	14
Homo quidam habebat duos filios (Lc 15, 11)	Homo quidam habebat duos filios	Lc	15	11
Non est opus sanis … peccatores (Lc 5, 31-32)	Non est opus sanis … peccatores	Lc	5	31-32
Homo quidam … in hiericho. (Lc 10, 30)	Homo quidam … in hiericho.	Lc	10	30
Quanta audivimus … tua (Lc 4, 23)	Quanta audivimus … tua	Lc	4	23
Socrus Simonis Petri … febribus (Lc 4, 38)	Socrus Simonis Petri … febribus	Lc	4	38
Appropinquabat … pascha (Lc 22,1)	Appropinquabat … pascha	Lc	22	1
Et ut perfecerunt omnia secundum legem (Lc 2, 39)	Et ut perfecerunt omnia secundum legem	Lc	2	39
Cum autem duodecim esset annorum iesus ... (Lc 2, 42-43)	Cum autem duodecim esset annorum iesus ...	Lc	2	42-43
Estote misericordes … condemnabimini (Lc 6, 36-37)	Estote misericordes … condemnabimini	Lc	6	36-37
Dimittite … vobis (Lc 6, 37-38)	Dimittite … vobis	Lc	6	37-38
Ascendens autem Ihesus in unam navem …a terra (Lc 5,3)	Ascendens autem Ihesus in unam navem …a terra	Lc	5	3
Factum est cum turbae irruerent ad Ihesum ... a terra (Lc 5, 1-3)	Factum est cum turbae irruerent ad Ihesum ... a terra	Lc	5	1-3
Erant appropinquantes ad Iesum ... cum illis (Lc 15, 1-2)	Erant appropinquantes ad Iesum ... cum illis	Lc	15	1-2
Homo quidam erat dives et habebat vilicum (Lc 16, 1)	Homo quidam erat dives et habebat vilicum	Lc	16	1
Dicebat autem Dominus Iesus … suas (Lc 16, 1-4)	Dicebat autem Dominus Iesus … suas	Lc	16	1-4
Homo quidam descendebat ab Hierusalem in Hiericho (Lc 10, 30)	Homo quidam descendebat ab Hierusalem in Hiericho	Lc	10	30
Ecce quidam legis peritus … possidebo (Lc 10, 25)	Ecce quidam legis peritus … possidebo	Lc	10	25
Quis horum trium videtur (Lc 10, 36)	Quis horum trium videtur	Lc	10	36
Et ut perfecerunt omnia saecundum legem ... suam nazareh (Lc	Et ut perfecerunt omnia saecundum legem ... suam nazareh	Lc	-	-
Et ecce vir venit ... erat (Lc 8, 41)	Et ecce vir venit ... erat	Lc	8	41
Dicebat autem dominus iesus ad discipulos suos: homo quidam … domos suas (Lc 16, 1-4)	Dicebat autem dominus iesus ad discipulos suos: homo quidam … domos suas	Lc	16	1-4
Interrogavit autem eum … unus deus (Lc 18, 18-19)	Interrogavit autem eum … unus deus	Lc	18	18-19
Fuit inquit in diebus … sine quaerela (Lc 1, 5-6)	Fuit inquit in diebus … sine quaerela	Lc	1	5-6
Quis ex vobis … erravit (Lc 15, 4)	Quis ex vobis … erravit	Lc	15	4
Factum est autem cum turbae irruerent … stagnum Genesareth (Lc 5, 1)	Factum est autem cum turbae irruerent … stagnum Genesareth	Lc	5	1
Factum est … a terra (Lc 5, 1-3)	Factum est … a terra	Lc	5	1-3
Homo quidam ex Hierusalem … Hiericho (Lc 10, 30)	Homo quidam ex Hierusalem … Hiericho	Lc	10	30
Ascedens autem Ihesus … aliquantulum (Lc 5, 3)	Ascedens autem Ihesus … aliquantulum	Lc	5	3
Quis vestrum habebit amicum … tres panes (Lc 11, 5)	Quis vestrum habebit amicum … tres panes	Lc	11	5
Mane autem sabbati … ad monumentum (Lc 24, 1)	Mane autem sabbati … ad monumentum	Lc	24	1
Appropinquabat autem dies festus Azimorum qui dicitur Pascha (Lc 22, 1)	Appropinquabat autem dies festus Azimorum qui dicitur Pascha	Lc	22	1
Et factum est deinceps ibat…vocatur Naim (Lc 7, 11)	Et factum est deinceps ibat…vocatur Naim	Lc	7	11
Socrus Symonis Petri tenebatur magnis febribus  (Lc 4, 38)	Socrus Symonis Petri tenebatur magnis febribus	Lc	4	38
Quanta audivimus facta in Capharnaum fac et hic in patria tua  (Lc 4, 23)	Quanta audivimus facta in Capharnaum fac et hic in patria tua	Lc	4	23
Estote ergo misericordes … misericors est (Lc 6, 36)	Estote ergo misericordes … misericors est	Lc	6	36
Cum appropinquaret autem porte civitatis ... loculum (Lc 7, 12-13)	Cum appropinquaret autem porte civitatis ... loculum	Lc	7	12-13
Socrus symonis petri tenebatur magnis febribus ... (Lc 4, 38)	Socrus symonis petri tenebatur magnis febribus ...	Lc	4	38
Factum est verbum Domini super Iohannem ... deserto (Lc 3, 2)	Factum est verbum Domini super Iohannem ... deserto	Lc	3	2
Factum est autem cum turbae … stabat secus stagnum Genesareth. (Lc 5, 1)	Factum est autem cum turbae … stabat secus stagnum Genesareth.	Lc	5	1
Cum appropinquaret Ihesus porte civitatis … tetigit loculum (Lc 7, 12)	Cum appropinquaret Ihesus porte civitatis … tetigit loculum	Lc	7	12
Quid autem  vides festucam ... non vides (Lc 6, 41)	Quid autem  vides festucam ... non vides	Lc	6	41
Et factum est cum intraret Ihesus in domum … hidropicus erat ante illum (Lc 14, 1-2)	Et factum est cum intraret Ihesus in domum … hidropicus erat ante illum	Lc	14	1-2
Et ecce vir venit … erat (Lc 8, 41)	Et ecce vir venit … erat	Lc	8	41
Dimittite et dimittemini, date et dabitur vobis(Lc 6, 37-38)	Dimittite et dimittemini, date et dabitur vobis	Lc	6	37-38
Cum appropinquaret … tetigit loculum. (Lc 7, 12)	Cum appropinquaret … tetigit loculum.	Lc	7	12
