Autore/Opera	author	opera	Forma
Ps. Chrysostomus, S. 111	Ps. Chrysostomus	 S. 111	homelia (nct)
Ps. Chrysostomus, S. 14 (= Hom. 9)	Ps. Chrysostomus	 S. 14 (= Hom. 9)	homelia (nct)
Ps. Chrysostomus, S. 16 De decollatione s. Iohannis	Ps. Chrysostomus	 S. 16 De decollatione s. Iohannis	homelia (nct)
Ps. Chrysostomus, S. 17 de misericordia et duabus mulieribus viduis	Ps. Chrysostomus	 S. 17 de misericordia et duabus mulieribus viduis	homelia (nct)
Ps. Chrysostomus, S. in venerabilem crucem	Ps. Chrysostomus	 S. in venerabilem crucem	homelia (nct)
Ps. Chrysostomus, in Ps 50, Hom. 2	Ps. Chrysostomus	 in Ps 50, Hom. 2	homelia (nct)
Ps. Chrysostomus , S. 111	Ps. Chrysostomus 	 S. 111	homelia (nct)
Ps. Cyprianus, Tract. de revel. capitis Iohannis Baptistae	Ps. Cyprianus	 Tract. de revel. capitis Iohannis Baptistae	homelia (nct)
Ps. Ephraem, S. in transfiguratione Domini	Ps. Ephraem	 S. in transfiguratione Domini	homelia (nct)
Ps. Eusebius, Hom. 28	Ps. Eusebius	 Hom. 28	homelia (nct)
Ps. Eusebius, S. 5 extr.	Ps. Eusebius	 S. 5 extr.	homelia (nct)
Ps. Faustus, Hom. 7, De Epiphania	Ps. Faustus	 Hom. 7, De Epiphania	homelia (nct)
Ps. Hieronymus, Ep. 27 = Hieronymus, S. De quadragesima	Ps. Hieronymus	 Ep. 27 = Hieronymus, S. De quadragesima	homelia (nct)
Ps. Hieronymus, Ep. 35 = Ps. Chrysostomus, Hom. 33	Ps. Hieronymus	 Ep. 35 = Ps. Chrysostomus, Hom. 33	homelia (nct)
Ps. Hieronymus, S. De quadragesima = Ep. 27	Ps. Hieronymus	 S. De quadragesima = Ep. 27	nan
Ps. Hieronymus, S. De quadragesima = Ep. 27	Ps. Hieronymus	 S. De quadragesima = Ep. 27	homelia (nct)
Ps. Hilarius, S.	Ps. Hilarius	 S.	homelia (nct)
Ps. Hilarius, S. de paralytico	Ps. Hilarius	 S. de paralytico	homelia (nct)
Ps. Hilarius, S. de paralytico	Ps. Hilarius	 S. de paralytico	nan
Ps. Hilarius, Tract. I	Ps. Hilarius	 Tract. I	homelia (nct)
Ps. Hilarius, Tract. I, 1	Ps. Hilarius	 Tract. I, 1	homelia (nct)
Ps. Hilarius, Tract. I, 1, 1-4	Ps. Hilarius	 Tract. I, 1, 1-4	homelia (nct)
Ps. Hilarius, Tract. I, 2	Ps. Hilarius	 Tract. I, 2	homelia (nct)
Ps. Hilarius Pictaviensis, S.	Ps. Hilarius Pictaviensis	 S.	homelia (nct)
Ps. Hildephonsus, S. 7	Ps. Hildephonsus	 S. 7	homelia (nct)
Ps. Hildephonsus, S. 7	Ps. Hildephonsus	 S. 7	nan
Ps. Ildephonsus, S. 8	Ps. Ildephonsus	 S. 8	homelia (nct)
Ps. Isidorus, S. 3, 4-8	Ps. Isidorus	 S. 3, 4-8	homelia (nct)
Ps. Leo, De dominica ascensione	Ps. Leo	 De dominica ascensione	homelia (nct)
Ps. Leo, S. 17	Ps. Leo	 S. 17	homelia (nct)
Ps. Leo, S. 8	Ps. Leo	 S. 8	homelia (nct)
Ps. Leo, S. 8 = Ps. Chrysostomus, S. 10	Ps. Leo	 S. 8 = Ps. Chrysostomus, S. 10	homelia (nct)
Ps. Leo, S. 9 = Ps. Augustinus, S. Caillau I, 22	Ps. Leo	 S. 9 = Ps. Augustinus, S. Caillau I, 22	nan
Ps. Leo, S. 9 = Ps. Augustinus, S. Caillau I, 22	Ps. Leo	 S. 9 = Ps. Augustinus, S. Caillau I, 22	homelia (nct)
Ps. Leo, S. Casin. II, De ascensione	Ps. Leo	 S. Casin. II, De ascensione	homelia (nct)
Ps. Leo, S. in paschali solemnitate; Ps. Maximus, S. Bruni 38	Ps. Leo	 S. in paschali solemnitate; Ps. Maximus, S. Bruni 38	homelia (nct)
Ps. Leo, S. in pashali solemnitate; Ps. Maximus, S. Bruni 38	Ps. Leo	 S. in pashali solemnitate; Ps. Maximus, S. Bruni 38	nan
Ps. Leo, S.; Ps. Maximus, S. Bruni 37	Ps. Leo	 S.; Ps. Maximus, S. Bruni 37	homelia (nct)
Ps. Leo, Serm. Casin. II, De ascensione	Ps. Leo	 Serm. Casin. II, De ascensione	homelia (nct)
Ps. Leo; Ps. Maximus, Hom. Bruni 39	Ps. Leo; Ps. Maximus	 Hom. Bruni 39	homelia (nct)
Ps. Leo; Ps. Maximus, Hom. Bruni 39	Ps. Leo; Ps. Maximus	 Hom. Bruni 39	nan
Ps. Leo; Ps. Maximus, S. Bruni 37	Ps. Leo; Ps. Maximus	 S. Bruni 37	homelia (nct)
Ps. Leo; Ps. Maximus, S. Bruni 37	Ps. Leo; Ps. Maximus	 S. Bruni 37	nan
Ps. Maximus, Hom. Bruni 10	Ps. Maximus	 Hom. Bruni 10	homelia (nct)
Ps. Maximus, Hom. Bruni 13	Ps. Maximus	 Hom. Bruni 13	nan
Ps. Maximus, Hom. Bruni 14	Ps. Maximus	 Hom. Bruni 14	homelia (nct)
Ps. Maximus, Hom. Bruni 15	Ps. Maximus	 Hom. Bruni 15	homelia (nct)
Ps. Maximus, Hom. Bruni 16	Ps. Maximus	 Hom. Bruni 16	homelia (nct)
Ps. Maximus, Hom. Bruni 23	Ps. Maximus	 Hom. Bruni 23	homelia (nct)
Ps. Maximus, Hom. Bruni 25	Ps. Maximus	 Hom. Bruni 25	homelia (nct)
Ps. Maximus, Hom. Bruni 26	Ps. Maximus	 Hom. Bruni 26	homelia (nct)
Ps. Maximus, Hom. Bruni 27	Ps. Maximus	 Hom. Bruni 27	homelia (nct)
Ps. Maximus, Hom. Bruni 28	Ps. Maximus	 Hom. Bruni 28	homelia (nct)
Ps. Maximus, Hom. Bruni 29	Ps. Maximus	 Hom. Bruni 29	homelia (nct)
Ps. Maximus, Hom. Bruni 35	Ps. Maximus	 Hom. Bruni 35	homelia (nct)
Ps. Maximus, Hom. Bruni 36	Ps. Maximus	 Hom. Bruni 36	homelia (nct)
Ps. Maximus, Hom. Bruni 65	Ps. Maximus	 Hom. Bruni 65	homelia (nct)
Ps. Maximus, Hom. Bruni 66	Ps. Maximus	 Hom. Bruni 66	homelia (nct)
Ps. Maximus, Hom. Bruni 66	Ps. Maximus	 Hom. Bruni 66	nan
Ps. Maximus, Hom. Bruni 67	Ps. Maximus	 Hom. Bruni 67	homelia (nct)
Ps. Maximus, Hom. Bruni 68	Ps. Maximus	 Hom. Bruni 68	homelia (nct)
Ps. Maximus, Hom. Bruni 68-71, excerpta	Ps. Maximus	 Hom. Bruni 68-71, excerpta	homelia (nct)
Ps. Maximus, Hom. Bruni 69	Ps. Maximus	 Hom. Bruni 69	homelia (nct)
Ps. Maximus, Hom. Bruni 70	Ps. Maximus	 Hom. Bruni 70	homelia (nct)
Ps. Maximus, Hom. Bruni 71	Ps. Maximus	 Hom. Bruni 71	homelia (nct)
Ps. Maximus, Hom. Bruni 74	Ps. Maximus	 Hom. Bruni 74	homelia (nct)
Ps. Maximus, Hom. Bruni 75	Ps. Maximus	 Hom. Bruni 75	homelia (nct)
Ps. Maximus, Hom. Bruni 76	Ps. Maximus	 Hom. Bruni 76	homelia (nct)
Ps. Maximus, Hom. Bruni 77	Ps. Maximus	 Hom. Bruni 77	homelia (nct)
Ps. Maximus, Hom. Bruni 82	Ps. Maximus	 Hom. Bruni 82	homelia (nct)
Ps. Maximus, Hom. app. III	Ps. Maximus	 Hom. app. III	homelia (nct)
Ps. Maximus, Hom.Bruni 70 (parte finale)	Ps. Maximus	 Hom.Bruni 70 (parte finale)	homelia (nct)
Ps. Maximus, S.	Ps. Maximus	 S.	homelia (nct)
Ps. Maximus, S. 108	Ps. Maximus	 S. 108	homelia (nct)
Ps. Maximus, S. 44	Ps. Maximus	 S. 44	homelia (nct)
Ps. Maximus, S. 56 (Cfr. Ps. Ambrosius, S. 48)	Ps. Maximus	 S. 56 (Cfr. Ps. Ambrosius, S. 48)	homelia (nct)
Ps. Maximus, S. 56; Ps. Ambrosius, S. 48	Ps. Maximus	 S. 56; Ps. Ambrosius, S. 48	homelia (nct)
Ps. Maximus, S. 62	Ps. Maximus	 S. 62	homelia (nct)
Ps. Maximus, S. 66	Ps. Maximus	 S. 66	homelia (nct)
Ps. Maximus, S. 67	Ps. Maximus	 S. 67	homelia (nct)
Ps. Maximus, S. 71	Ps. Maximus	 S. 71	homelia (nct)
Ps. Maximus, S. 73	Ps. Maximus	 S. 73	homelia (nct)
Ps. Maximus, S. 79	Ps. Maximus	 S. 79	homelia (nct)
Ps. Maximus, S. 80	Ps. Maximus	 S. 80	homelia (nct)
Ps. Maximus, S. 83	Ps. Maximus	 S. 83	homelia (nct)
Ps. Maximus, S. App. 22	Ps. Maximus	 S. App. 22	homelia (nct)
Ps. Maximus, S. Bruni 105	Ps. Maximus	 S. Bruni 105	homelia (nct)
Ps. Maximus, S. Bruni 29	Ps. Maximus	 S. Bruni 29	homelia (nct)
Ps. Maximus, S. Bruni 78	Ps. Maximus	 S. Bruni 78	nan
Ps. Maximus, S. Casin. 1 ante Natalem Domini	Ps. Maximus	 S. Casin. 1 ante Natalem Domini	homelia (nct)
Ps. Maximus, S. app. 24	Ps. Maximus	 S. app. 24	homelia (nct)
Ps. Maximus, S. app. 26	Ps. Maximus	 S. app. 26	homelia (nct)
Ps. Maximus, S. app. 29	Ps. Maximus	 S. app. 29	nan
Ps. Maximus, S. in dedicatione ecclesiae	Ps. Maximus	 S. in dedicatione ecclesiae	homelia (nct)
Ps. Maximus Taurinensis, Hom. app. 2	Ps. Maximus Taurinensis	 Hom. app. 2	homelia (nct)
Ps. Maximus Taurinensis, Hom. app. I	Ps. Maximus Taurinensis	 Hom. app. I	homelia (nct)
Ps. Maximus Taurinensis, Hom. app. III	Ps. Maximus Taurinensis	 Hom. app. III	homelia (nct)
Ps. Maximus Taurinensis, S. 108	Ps. Maximus Taurinensis	 S. 108	homelia (nct)
Ps. Melito, Vita Iohannis	Ps. Melito	 Vita Iohannis	lectio
Ps. Melito, Vita Iohannis apostoli et evangelistae	Ps. Melito	 Vita Iohannis apostoli et evangelistae	lectio
Ps. Origenes, Hom. 2 ,  In Mt 2, 13-18	Ps. Origenes	 Hom. 2 ,  In Mt 2, 13-18	homelia (nct)
Ps. Origenes, Hom. 2 In Mt  2, 13-18	Ps. Origenes	 Hom. 2 In Mt  2, 13-18	homelia (nct)
Ps. Origenes, Hom. 2, In Mt 2, 13-18	Ps. Origenes	 Hom. 2, In Mt 2, 13-18	homelia (nct)
Ps. Origenes, Hom. 3 In Mt 5, 43	Ps. Origenes	 Hom. 3 In Mt 5, 43	homelia (nct)
Ps. Origenes, Hom. 3,  In Mt 5, 43	Ps. Origenes	 Hom. 3,  In Mt 5, 43	homelia (nct)
Ps. Origenes, Hom. 3, In Mt 5, 43	Ps. Origenes	 Hom. 3, In Mt 5, 43	homelia (nct)
Ps. Origenes, Hom. 4,  In Mt 6, 15-19	Ps. Origenes	 Hom. 4,  In Mt 6, 15-19	homelia (nct)
Ps. Origenes, Hom. 4, In Mt 6, 15-19	Ps. Origenes	 Hom. 4, In Mt 6, 15-19	homelia (nct)
Ps. Origenes, Hom. 5,  In Mt 7, 15-21	Ps. Origenes	 Hom. 5,  In Mt 7, 15-21	homelia (nct)
Ps. Origenes, Hom. 5, In Mt 7, 15-21	Ps. Origenes	 Hom. 5, In Mt 7, 15-21	homelia (nct)
Ps. Origenes, Hom. 5, In Mt, 7, 15-21	Ps. Origenes	 Hom. 5, In Mt, 7, 15-21	nan
Ps. Origenes, Hom. 6,  In Mt 8, 1-13	Ps. Origenes	 Hom. 6,  In Mt 8, 1-13	homelia (nct)
Ps. Origenes, Hom. 6, In Mt 8, 1-13	Ps. Origenes	 Hom. 6, In Mt 8, 1-13	homelia (nct)
Ps. Origenes, Hom. 7,  In Mt 8, 23-25	Ps. Origenes	 Hom. 7,  In Mt 8, 23-25	homelia (nct)
Ps. Origenes, Hom. 7,  In Mt 8, 23-27	Ps. Origenes	 Hom. 7,  In Mt 8, 23-27	homelia (nct)
Ps. Origenes, Hom. 7, In Mt 8, 23-27	Ps. Origenes	 Hom. 7, In Mt 8, 23-27	homelia (nct)
Ps. Origenes, Hom. 8, In Mt 12, 38	Ps. Origenes	 Hom. 8, In Mt 12, 38	homelia (nct)
Ps. Origenes, Hom. 8, In Mt 12, 38	Ps. Origenes	 Hom. 8, In Mt 12, 38	nan
Ps. Origenes, Hom. VIII in Matth. 12, 38	Ps. Origenes	 Hom. VIII in Matth. 12, 38	nan
Ps. Origenes., Hom. 6,  In Mt 8, 1-13	Ps. Origenes.	 Hom. 6,  In Mt 8, 1-13	homelia (nct)
Ps. Severianus Gabalensis, S. Liverani 6	Ps. Severianus Gabalensis	 S. Liverani 6	nan
Quodvultdeus, Contra Iudaeos, XI-XVI, 5 ;  XVII, 1	Quodvultdeus	 Contra Iudaeos, XI-XVI, 5 ;  XVII, 1	homelia (nct)
Quodvultdeus, Contra Iudaeos, XI-XVI, 5; XVII, 1	Quodvultdeus	 Contra Iudaeos, XI-XVI, 5; XVII, 1	homelia (nct)
Quodvultdeus, Contra Iudaeos, XI-XVI, 5; XVII, 1	Quodvultdeus	 Contra Iudaeos, XI-XVI, 5; XVII, 1	nan
Quodvultdeus, Contra Iudaeos, XI-XVI, 5; cfr. XVII, 1	Quodvultdeus	 Contra Iudaeos, XI-XVI, 5; cfr. XVII, 1	homelia (nct)
Remigius Autissiodorensis, Hom. 6	Remigius Autissiodorensis	 Hom. 6	homelia (nct)
Remigius Autissiodorensis, Hom. 6 (con varianti)	Remigius Autissiodorensis	 Hom. 6 (con varianti)	homelia (nct)
S.	S.		homelia (nct)
S.	S.		nan
S. de nativitate Domini	S. de nativitate Domini		homelia (nct)
S. in Natali Domini	S. in Natali Domini		homelia (nct)
S. in Transfiguratione	S. in Transfiguratione		nan
S. s. Mariae de puero hebraeo	S. s. Mariae de puero hebraeo		homelia (nct)
S. s. Mariae de puero hebraeo	S. s. Mariae de puero hebraeo		nan
Severianus Gabalensis (?), S. de cruce et latrone	Severianus Gabalensis	 S. de cruce et latrone	homelia (nct)
Severianus Gabalensis?	Severianus Gabalensis?		homelia (nct)
Smaragdus, In epist. et ev.,  Gal. IV	Smaragdus	 In epist. et ev.,  Gal. IV	homelia (nct)
Smaragdus, In epist. et ev., Gal IV	Smaragdus	 In epist. et ev., Gal IV	homelia (nct)
Smaragdus, In epist. et ev., Gal V	Smaragdus	 In epist. et ev., Gal V	homelia (nct)
Smaragdus, In epist. et ev., Mt 28	Smaragdus	 In epist. et ev., Mt 28	homelia (nct)
Sulpicius Severus, Dial. I, 1, 1-19, 6	Sulpicius Severus	 Dial. I, 1, 1-19, 6	lectio
Testo non identificato	Testo non identificato		nan
Testo non identificato	Testo non identificato		lectio
Testo non identificato	Testo non identificato		homelia (nct)
Translatio  Marci ep.	Translatio  Marci ep.		lectio
Versus de s. Menna	Versus de s. Menna		versus
Vita  s.  Silvestri	Vita  s.  Silvestri		lectio
Vita Leonardi	Vita Leonardi		lectio
Vita s. Mauri	Vita s. Mauri		nan
cfr. Beda, In Ioh 3; (Augustinus, Tract. in Ioh. 12, 12-13)	cfr. Beda	 In Ioh 3; (Augustinus, Tract. in Ioh. 12, 12-13)	homelia (nct)
cfr. Ps. Augustinus, S. Mai 37	cfr. Ps. Augustinus	 S. Mai 37	homelia (nct)
cfr. Ps. Augustinus, s. 245, 2	cfr. Ps. Augustinus	 s. 245, 2	homelia (nct)
cfr. Ps. Augustinus, s. 245, 3-4	cfr. Ps. Augustinus	 s. 245, 3-4	homelia (nct)
testo non identificato	testo non identificato		nan
testo non identificato	testo non identificato		homelia (nct)
